"displayUrl","caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"https://scontent-mad2-1.cdninstagram.com/v/t51.2885-15/382619316_125581057309822_5719536682450086519_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-mad2-1.cdninstagram.com&_nc_cat=110&_nc_ohc=SwPcVyvQmL4AX9pKFeC&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfAInvkvoBsFgho_DacVqAOZM08ytgbzcJYYDvgupIIxtg&oe=6527185C&_nc_sid=2999b8","A meaningful last hurrah for @merelyicecream , with this keepsake shirt design created by @lyyeow 👏 👏 

Beatrice is now part of the 美丽俱乐部，大家一起美丽吧🍦!
#merelyicecream #merelyicecreamsg","Ng CY","swedeprince","https://www.instagram.com/p/CxkU4FFu03r/","0","","5","2023-09-24T08:23:01.000Z",
"https://instagram.fhan2-3.fna.fbcdn.net/v/t51.2885-15/383775742_810560777744133_7890464841299255188_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fhan2-3.fna.fbcdn.net&_nc_cat=109&_nc_ohc=vNcC5Mj_x-EAX921R2W&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfDEc0u5VWiwcbVnzPBTrWFT6fauE-Fwu6ZxteqjycXrJw&oe=652AD4E2&_nc_sid=2999b8","If you've followed us for a while, you'd know that Oishii Ferments started as a homeschool project in Aug'21, to teach the children how to run a business in this digital era. This past Sunday, we had the opportunity to do our first pop up event at @merelyicecream. What a wonderful real life entrepreneurship learning experience it was for them. Prior to the event, we discussed marketing strategies such as providing free samples of our sourdough (generously) and free flow ice cream toppings to entice customers to our table, pricing strategies, speaking up to explain our offerings, good customer service etiquette, and good hygiene when handling food (wear gloves, etc.). 

We had so many things to prepare and bring, down to tissue paper, extra cooking utensils in case things drop/get dirty, trash can, etc. My sister and I, with three children took a taxi, carrying 4 heavy laundry baskets full of things and a baby stroller (to help us carry some of the things). Lol. I wish we took a picture for memories' sake (totally forgot because we were so busy), because the transport itself was an adventure. 

Six hours at the pop up went by really quickly and we truly enjoyed doing this together as a family. Afterwards when we reflected on the day, I asked the children what they learned and things they could improve on, and we shared our experiences. This, to me, was the invaluable lesson that made all the intense and hectic preparations worthwhile. 

Thank you again for the opportunity, YW and @lyyeow! And thank you everyone who came to support us! What a precious memory.","Oishii Ferments","oishiiferments","https://www.instagram.com/p/CxsLPG6yEEH/","5","I'm sure your family had a wonderful experience! Love those illustrations too! 👏❤️","103","2023-09-27T09:28:33.000Z",
"https://instagram.fkul8-1.fna.fbcdn.net/v/t51.2885-15/381415824_827031595633455_1166253419333665552_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fkul8-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=YjLPm7Wf450AX87eMNg&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfARrA5G0j64U8EcA-lfG8cKi6KFbAWs7ABSjSWLnqt9Jw&oe=652AE89E&_nc_sid=2999b8","Thank you @merelyicecream for serving yummy salted butterscotch🍨❤️ Goodbye and hope to see you again🥺

#sgcafe #sgfood #sgfoodie #sgfoodies #sgcafehopping #cafehoppingsg #singaporecafe #sgeats #foodsg #foodiesg #singaporecafe #saltedbutterscrotch #merelyicecream  #sgicecream","🍎","applelici0us","https://www.instagram.com/p/CxlEf2Pp4zZ/","0","","3","2023-09-24T15:14:59.000Z",
"https://instagram.fvga8-1.fna.fbcdn.net/v/t51.2885-15/380747745_1107212106921736_5539483872848631521_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fvga8-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=HcJ1JC3nKawAX9Y4hr8&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBnkoDdGXZRb0FK8N5bsKzNc89XAFlIvmi8Uyz3h6eKgg&oe=652A62F3&_nc_sid=2999b8","🍦 𝗜𝗰𝗲 𝗰𝗿𝗲𝗮𝗺 𝘀𝗵𝗼𝗽 𝗰𝗹𝗼𝘀𝗶𝗻𝗴 𝗱𝗼𝘄𝗻!!

📍𝐌𝐞𝐫𝐞𝐥𝐲 𝐈𝐜𝐞 𝐂𝐫𝐞𝐚𝐦 (𝐒𝐮𝐧𝐬𝐡𝐢𝐧𝐞 𝐏𝐥𝐚𝐳𝐚, 𝐁𝐞𝐧𝐜𝐨𝐨𝐥𝐞𝐧) 

It’s sad to hear this humble shop leave after 11 years so do head down quick before they close this weekend on 24 Sep! 

𝘿𝙤𝙪𝙗𝙡𝙚 𝙨𝙘𝙤𝙤𝙥𝙨 ($7) 
- 𝙃𝙤𝙧𝙡𝙞𝙘𝙠𝙨 𝙥𝙖𝙣𝙙𝙖: Surprised to find some crushed Hello Panda chocolate biscuits within, a nostalgic yet innovate ice cream flavour full of the wheaty maltiness that reminded me of cereal milk 😋 [8.5/10]
- 𝙎𝙖𝙡𝙩𝙚𝙙 𝙗𝙪𝙩𝙩𝙚𝙧𝙨𝙘𝙤𝙩𝙘𝙝: Their best-seller made with brown butter, brown sugar and sea salt which had a caramel flavour that might be too sweet for us, though we enjoyed the bits of graham biscuits! [7/10]

𝙒𝙖𝙛𝙛𝙡𝙚 ($4) 
- Not the airiest but sufficiently crispy within the first few bites. 
- Wasn’t too sweet which complemented the sweetness of the ice cream. [7.5/10] 

Overall, they’re pretty generous with the ice cream scoops larger than usual and it’s definitely one of the most affordable!","sg foodie 🌯🍱🍝","iloafbready","https://www.instagram.com/p/CxfjnogyV3A/","41","mmm now craving ice cream and waffles 😍","181","2023-09-22T11:51:29.000Z",
"https://instagram.ftpa1-1.fna.fbcdn.net/v/t39.30808-6/379196604_18369015475069413_3258801323705709758_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=instagram.ftpa1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=9UuYIZctXp4AX-Gz3sJ&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfBpgs8xjtjAFMLZmbCm_5c4wP4L_z6rfkG-Ptz5BeNNsA&oe=652A9D6C&_nc_sid=2999b8","We’re popping up next weekend at @merelyicecream on 24 September, Sunday 12-6pm! 

Enjoy your favourite ice cream flavours, shop, eat and play with our partners too. Come and join in the fun!!!","Tickle Your Senses","tickleyoursenses","https://www.instagram.com/p/CxN1bXdhXV7/","0","","13","2023-09-15T14:40:46.000Z",
"https://instagram.find1-1.fna.fbcdn.net/v/t51.2885-15/384182491_159945923836145_7020222860844480060_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.find1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=rLfdXF9HT-EAX9QJS-c&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfA9tKe8T4hoTyLqxdGRh4PgmQLGi1mczRdSc3uEZwi-lA&oe=6526D521&_nc_sid=2999b8","Just about a week ago at @merelyicecream’s Last Hurrah Pop-Up! Thank you all for coming down! 

There was so much love for Merely, as well the other partners there. Happy to see familiar faces as well as new friends too. We hope you got your last scoops and more!!! 

#popup #supportsmallbusiness #sglocal #shopsmall #sgig #tickleyoursenses #handsonlearning #playdoughtime #playlearngrow","Tickle Your Senses","tickleyoursenses","https://www.instagram.com/p/CxzsSJ9hLO5/","0","","21","2023-09-30T07:35:13.000Z",
"https://instagram.fphx1-2.fna.fbcdn.net/v/t39.30808-6/379407037_18384049639055224_1524404976994949668_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=instagram.fphx1-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=uwdyC2jrg7MAX_20K6K&edm=AP_V10EAAAAA&ccb=7-5&oh=00_AfAF9k81NJzXK8p_3BVx-SsNCXuWcH3NTeDXAG2d8a01pA&oe=6529E39F&_nc_sid=2999b8","LAST HURRAH @merelyicecream 
24 SEP, SUN. 12-6PM
美丽俱乐部LIVE SILKSCREEN 

See you this Sunday at Merely! We have a little silkscreen booth set up outside printing on uniqlo tshirts. Live printing on shirt is $30 each. I have the cutest ice cream planet design in horizontal and vertical placements for you to consider. Join our 美丽俱乐部，大家一起美丽吧！🍦","Ly Yeow","lyyeow","https://www.instagram.com/p/CxX1jFwyXYZ/","0","","82","2023-09-19T11:54:14.000Z",
"https://instagram.fmel12-1.fna.fbcdn.net/v/t51.2885-15/377881272_6640047586073850_1906960716229901164_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fmel12-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=2KBw4FhNg5cAX_FtcJR&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD4qDUs-FjkAV_P5gzzkGGT4BECvZ-mh3caeGZImbIMSQ&oe=6526BE24&_nc_sid=2999b8","It’s the #InternationalChocolateDay so I’m having the Chocolate Stout ice cream from @merelyicecream. I also ordered the Grape 🍇 Yakult yogurt flavour as well. I like both flavours. The chocolate one has a distinct alcohol taste which balances out the richness and the grape yakult is just delightful. 🥹","𝙉 𝙄 𝘾 𝙃 𝙊 ⚡️𝘼 𝙎","nickeatsg","https://www.instagram.com/p/CxG_1EUS4Gy/","24","So yum","-1","2023-09-12T23:00:13.000Z",
"https://scontent-den4-1.cdninstagram.com/v/t51.2885-15/379945764_152918471205381_8108856342063006272_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-den4-1.cdninstagram.com&_nc_cat=109&_nc_ohc=IKmNmutFQFYAX9Yee3o&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfBtz9TVgzV6VT2Q0UgoQtAzS5uUsqpnWGPICpde9EMAeQ&oe=65267C9D&_nc_sid=2999b8","LAST HURRAH @merelyicecream 
24 SEP, SUN. 12-6PM
美丽俱乐部LIVE SILKSCREEN 

I have been a hermit and stayed away from events for years, only crawling out of my shell for @merelyicecream last hurrah. A special tee to mark the end of 11 years for my favourite ice cream store. It has given me all the most beautiful things I can ever wish for - the best ice cream, the cutest cat, my loveliest husband and so much love. 

All ready for this Sunday’s live silkscreen. 美丽的你，我们不见不散！🍦","Ly Yeow","lyyeow","https://www.instagram.com/p/Cxam90nySGs/","1","can't go... need to work.. me sad... 😢","32","2023-09-20T13:49:52.000Z",
"https://scontent-itm1-1.cdninstagram.com/v/t51.2885-15/385230261_1263813467663971_2869426239888618104_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-itm1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=WGOHmMWyrLIAX80dj8O&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AfD1DnoDYrafqaj9ZC6cSDvUowoX4gxmIvlzkiUabw2CSQ&oe=652A677A&_nc_sid=2999b8","another food dump ꒰ ˆ ꒵ ˆ ꒱

1: sourdough egg tarts and strawberry yuzu danish. i posted about the egg tarts before so i’ll just talk about the danish, the strawberries were sweet (luckily) and the yuzu filling was tangy hehe 

2-3: made my own bowl comprising of brown rice, soy-marinated tofu, corn, shiitake mushrooms, cherry tomatoes, mentaiko and sesame soy dressing. i haven’t eaten from here in so long but i still consider this place one of my favourites, and i would say the given amount of mentaiko became more generous HAHA 

4-5: lemon delight (with lemon jam), fragola (strawberry) and mixed berries (raspberry, blueberry, blackberry and red currant). very refreshing. the three flavours together gave me summer season vibes for some reason 

6-7: visited on 20/9 before they ceased operations on 24/9. the last time i visited was a couple of years ago and i knew i wouldn’t have time to go again before 24/9 so i got a triple scoop! go big or go home right… i got valrhona chocolate, salted butterscotch and pandan crumble while my friend got hojicha! 

8: chocoladen (chocolatey danish pastry with a chocolate bar inside). nice sweet treats :] 

9-10: my mum came here with her friends before so she brought me here for me to try their food ~ there’s an all-you-can-eat salad bar available with each main course order so we both got a main and salad (its not just vegetables, there’s other food side dishes too). the main course (i got chargrilled sirloin) may look little but the salad bar items made up for it (i think if the main course came with many other things, i wouldn’t be able to fully enjoy the salad bar). my favourites from the salad bar were the sweet potato fries and tofu (slightly firm/crispy on the outside and soft inside)!!","","toomuchsucrose","https://www.instagram.com/p/Cx23wx4yYE2/","13","what a SPREADDD 🔥","-1","2023-10-01T13:10:02.000Z",
